X	Y
2.51	1.395
2.53	1.395
2.55	1.395
2.57	1.395
2.59	1.395
2.61	1.395
2.63	1.395
2.65	1.395
2.67	1.395
2.69	1.395
2.71	1.395
2.73	1.395
2.75	1.395
2.77	1.395
2.79	1.395
2.81	1.395
2.83	1.395
2.85	1.395
2.87	1.395
2.89	1.395
2.91	1.395
2.93	1.395
2.95	1.395
2.97	1.395
2.99	1.395
3.01	1.395
3.03	1.395
3.05	1.395
3.07	1.395
3.09	1.395
3.11	1.395
3.13	1.395
3.15	1.395
3.17	1.395
3.19	1.395
3.21	1.395
3.23	1.395
3.25	1.395
3.27	1.395
3.29	1.395
3.31	1.395
3.33	1.395
3.35	1.395
3.37	1.395
3.39	1.395
3.41	1.395
3.43	1.395
3.45	1.395
3.47	1.395
3.49	1.395
3.51	1.395
3.53	1.395
3.55	1.395
3.57	1.395
3.59	1.395
3.61	1.395
3.63	1.395
3.65	1.395
3.67	1.395
3.69	1.395
3.71	1.395
3.73	1.395
3.75	1.395
3.77	1.395
3.79	1.395
3.81	1.395
3.83	1.395
3.85	1.395
3.87	1.395
3.89	1.395
3.91	1.395
3.93	1.395
3.95	1.395
3.97	1.395
3.99	1.395
4.01	1.395
4.03	1.395
4.05	1.395
4.07	1.395
4.09	1.395
4.11	1.395
4.13	1.395
4.15	1.395
4.17	1.395
4.19	1.395
4.21	1.395
4.2189117	1.394785231
4.227802708	1.394141423
4.236652382	1.39307007
4.245440173	1.39157366
4.254145679	1.389655668
4.262748686	1.387320546
4.271229219	1.384573717
4.279567589	1.381421558
4.287744435	1.377871388
4.295740772	1.373931449
4.303538034	1.36961089
4.311118116	1.364919743
4.31846342	1.359868898
4.32555689	1.354470084
4.332382058	1.348735835
4.338923076	1.342679466
4.345164756	1.336315038
4.351092607	1.329657328
4.356692866	1.322721795
4.36195253	1.315524541
4.366859385	1.308082278
4.371402041	1.300412284
4.375569949	1.292532369
4.379353432	1.284460828
4.382743706	1.276216402
4.385732899	1.267818233
4.388314071	1.25928582
4.390481228	1.250638974
4.39222934	1.241897771
4.393554346	1.233082507
4.394453171	1.22421365
4.394923727	1.21531179
4.395	1.21
4.395	1.19
4.395	1.17
4.395	1.15
4.395	1.13
4.395	1.11
4.395	1.09
4.395	1.07
4.395	1.05
4.395	1.03
4.395	1.01
4.395	0.99
4.395	0.97
4.395	0.95
4.395	0.93
4.395	0.91
4.395	0.89
4.395	0.87
4.395	0.85
4.395	0.83
4.395	0.81
4.395	0.79
4.395	0.77
4.395	0.75
4.395	0.73
4.395	0.71
4.395	0.69
4.395	0.67
4.395	0.65
4.395	0.63
4.395	0.61
4.395481779	0.59000889
4.396925998	0.570064195
4.399329302	0.550212225
4.402686113	0.530499071
4.406988637	0.510970505
4.412226882	0.491671868
4.418388688	0.472647968
4.425459748	0.453942976
4.433423644	0.435600322
4.442261884	0.417662593
4.451953949	0.400171438
4.462477335	0.383167469
4.473807608	0.366690166
4.485918461	0.350777786
4.498781776	0.335467275
4.512367685	0.320794182
4.526644645	0.306792574
4.541579507	0.293494962
4.557137596	0.280932219
4.573282786	0.269133515
4.589977593	0.258126244
4.607183254	0.247935962
4.624859821	0.23858633
4.64296625	0.230099057
4.661460504	0.222493848
4.68029964	0.215788361
4.699439918	0.209998165
4.718836897	0.205136704
4.738445541	0.201215265
4.758220322	0.198242954
4.778115327	0.196226671
4.798084362	0.195171098
4.81	0.195
4.83	0.195
4.85	0.195
4.87	0.195
4.89	0.195
4.91	0.195
4.93	0.195
4.95	0.195
4.97	0.195
4.99	0.195
5.01	0.195
5.03	0.195
5.05	0.195
5.07	0.195
5.09	0.195
5.11	0.195
5.13	0.195
5.15	0.195
5.17	0.195
5.19	0.195
5.21	0.195
5.23	0.195
5.25	0.195
5.27	0.195
5.29	0.195
5.31	0.195
5.33	0.195
5.35	0.195
5.37	0.195
5.39	0.195
5.41	0.195
5.42999111	0.195481779
5.449935805	0.196925998
5.469787776	0.199329302
5.489500929	0.202686113
5.509029495	0.206988637
5.528328132	0.212226882
5.547352032	0.218388688
5.566057024	0.225459748
5.584399678	0.233423644
5.602337407	0.242261884
5.619828562	0.251953949
5.636832531	0.262477335
5.653309834	0.273807608
5.669222214	0.285918461
5.684532725	0.298781776
5.699205818	0.312367685
5.713207426	0.326644645
5.726505038	0.341579507
5.739067781	0.357137596
5.750866485	0.373282786
5.761873757	0.389977593
5.772064038	0.407183254
5.78141367	0.424859821
5.789900943	0.44296625
5.797506152	0.461460504
5.804211639	0.48029964
5.810001835	0.499439918
5.814863296	0.518836897
5.818784735	0.538445541
5.821757046	0.558220322
5.823773329	0.578115327
5.824828902	0.598084362
5.825	0.61
5.825	0.63
5.825	0.65
5.825	0.67
5.825	0.69
5.825	0.71
5.825	0.73
5.825	0.75
5.825	0.77
5.825	0.79
5.825	0.81
5.825	0.83
5.825	0.85
5.825	0.87
5.825	0.89
5.825	0.91
5.825	0.93
5.825	0.95
5.825	0.97
5.825	0.99
5.825	1.01
5.825	1.03
5.825	1.05
5.825	1.07
5.825	1.09
5.825	1.11
5.825	1.13
5.825	1.15
5.825	1.17
5.825	1.19
5.825	1.21
5.825	1.23
5.825	1.25
5.825	1.27
5.825	1.29
5.825	1.31
5.825	1.33
5.825	1.35
5.825	1.37
5.825	1.39
5.825	1.41
5.825	1.43
5.825	1.45
5.825	1.47
5.825	1.49
5.825	1.51
5.825	1.53
5.825	1.55
5.825	1.57
5.825	1.59
5.825	1.61
5.825	1.63
5.825	1.65
5.825	1.67
5.825	1.69
5.825	1.71
5.825	1.73
5.825	1.75
5.825	1.77
5.825	1.79
5.825	1.81
5.825	1.83
5.825	1.85
5.825	1.87
5.825	1.89
5.825	1.91
5.825	1.93
5.825	1.95
5.825	1.97
5.825	1.99
5.825	2.01
5.825	2.03
5.825	2.05
5.825	2.07
5.825	2.09
5.825	2.11
5.825	2.13
5.825	2.15
5.825	2.17
5.825	2.19
5.825	2.21
5.825	2.23
5.825	2.25
5.825	2.27
5.825	2.29
5.825	2.31
5.825	2.33
5.825	2.35
5.825	2.37
5.825	2.39
5.825	2.41
5.825	2.43
5.825	2.45
5.825	2.47
5.825	2.49
5.825	2.51
5.825	2.53
5.825	2.55
5.825	2.57
5.825	2.59
5.825	2.61
5.825	2.63
5.825	2.65
5.825	2.67
5.825	2.69
5.825	2.71
5.825	2.73
5.825	2.75
5.825	2.77
5.825	2.79
5.825	2.81
5.825	2.83
5.825	2.85
5.825	2.87
5.825	2.89
5.825	2.91
5.825	2.93
5.825	2.95
5.825	2.97
5.825	2.99
5.825	3.01
5.824518221	3.02999111
5.823074002	3.049935805
5.820670698	3.069787776
5.817313887	3.089500929
5.813011363	3.109029495
5.807773118	3.128328132
5.801611312	3.147352032
5.794540252	3.166057024
5.786576356	3.184399678
5.777738116	3.202337407
5.768046051	3.219828562
5.757522666	3.236832531
5.746192393	3.253309834
5.734081539	3.269222214
5.721218224	3.284532725
5.707632315	3.299205818
5.693355355	3.313207426
5.678420493	3.326505038
5.662862405	3.339067781
5.646717214	3.350866485
5.630022407	3.361873757
5.612816746	3.372064038
5.595140179	3.38141367
5.57703375	3.389900943
5.558539497	3.397506152
5.53970036	3.404211639
5.520560082	3.410001835
5.501163103	3.414863296
5.481554459	3.418784735
5.461779678	3.421757046
5.441884673	3.423773329
5.421915638	3.424828902
5.41	3.425
5.4	3.425
5.38	3.425
5.36	3.425
5.34	3.425
5.32	3.425
5.3	3.425
5.28	3.425
5.26	3.425
5.24	3.425
5.22	3.425
5.2	3.425
5.18	3.425
5.16	3.425
5.14	3.425
5.12	3.425
5.1	3.425
5.08	3.425
5.06	3.425
5.04	3.425
5.02	3.425
5	3.425
4.98	3.425
4.96	3.425
4.94	3.425
4.92	3.425
4.9	3.425
4.88	3.425
4.86	3.425
4.84	3.425
4.82	3.425
4.8	3.425
4.78	3.425
4.76	3.425
4.74	3.425
4.72	3.425
4.7	3.425
4.68	3.425
4.66	3.425
4.64	3.425
4.62	3.425
4.6	3.425
4.58	3.425
4.56	3.425
4.54	3.425
4.52	3.425
4.5	3.425
4.48	3.425
4.46	3.425
4.44	3.425
4.42	3.425
4.4	3.425
4.38	3.425
4.36	3.425
4.34	3.425
4.32	3.425
4.3	3.425
4.28	3.425
4.26	3.425
4.24	3.425
4.22	3.425
4.21	3.425
4.19000889	3.424518221
4.170064195	3.423074002
4.150212225	3.420670698
4.130499071	3.417313887
4.110970505	3.413011363
4.091671868	3.407773118
4.072647968	3.401611312
4.053942976	3.394540252
4.035600322	3.386576356
4.017662593	3.377738116
4.000171438	3.368046051
3.983167469	3.357522666
3.966690166	3.346192393
3.950777786	3.334081539
3.935467275	3.321218224
3.920794182	3.307632315
3.906792574	3.293355355
3.893494962	3.278420493
3.880932219	3.262862405
3.869133515	3.246717214
3.858126244	3.230022407
3.847935962	3.212816746
3.83858633	3.195140179
3.830099057	3.17703375
3.822493848	3.158539497
3.815788361	3.13970036
3.809998165	3.120560083
3.805136704	3.101163103
3.801215265	3.081554459
3.798242954	3.061779678
3.796226671	3.041884673
3.795171098	3.021915638
3.795	3.01
3.795	2.99
3.795	2.97
3.795	2.95
3.795	2.93
3.795	2.91
3.795	2.89
3.795	2.87
3.795	2.85
3.795	2.83
3.795	2.81
3.795	2.79
3.795	2.77
3.795	2.75
3.795	2.73
3.795	2.71
3.795	2.69
3.795	2.67
3.795	2.65
3.795	2.63
3.795	2.61
3.795	2.59
3.795	2.57
3.795	2.55
3.795	2.53
3.795	2.51
3.795	2.49
3.795	2.47
3.795	2.45
3.795	2.43
3.795	2.41
3.795481779	2.39000889
